Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,ID,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_CONTEXTMENU,ID
Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,LABEL,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,ICONNAMEID,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,ACTION,4,NULL,YES,nvarchar,500,1000,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,SHORTCUT,5,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,CONTEXT,6,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,PARENT,7,NULL,YES,nvarchar,150,300,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,BASE TABLE,Dart_MT,dbo,OSUSR_13U_CONTEXTMENU,ISCHECK,8,NULL,YES,bit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_DATATYPE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_DATATYPE,ID,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_DATATYPE,ID
Dart_MT,dbo,OSUSR_13U_DATATYPE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_DATATYPE,LABEL,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
